CustomerID,Recency,Frequency,Monetary,CustomerSegment
12747,109,5,191.85,Loyal Customers
12748,70,96,1054.43,Best Customers
12749,130,3,67.0,Lost Customers
12820,74,1,15.0,Almost Lost
12821,214,1,19.92,Lost Customers
12822,70,2,30.799999999999997,Almost Lost
12823,74,3,1224.0,Other
12826,71,2,37.3,Almost Lost
12828,99,3,74.1,Lost Customers
12830,91,5,1556.64,Loyal Customers
12831,262,1,34.199999999999996,Lost Customers
12832,98,1,17.0,Lost Customers
12833,145,1,15.0,Lost Customers
12834,282,1,15.9,Lost Customers
12836,137,2,18.6,Lost Customers
12837,173,1,17.0,Lost Customers
12839,71,7,77.9,Other
12840,143,4,138.6,Loyal Customers
12841,89,10,193.17000000000002,Loyal Customers
12842,70,1,15.0,Almost Lost
12843,159,7,113.25,Loyal Customers
12844,130,1,4.95,Lost Customers
12845,267,3,283.54999999999995,Big Spenders
12849,268,1,34.8,Lost Customers
12851,96,1,4.16,Lost Customers
12853,134,5,187.20000000000002,Loyal Customers
12854,78,2,151.7,Other
12857,210,1,35.7,Lost Customers
12864,138,1,17.4,Lost Customers
12867,96,4,32.35,Other
12868,185,3,69.2,Lost Customers
12871,84,2,178.2,Other
12873,282,1,68.0,Lost Customers
12875,143,1,49.470000000000006,Lost Customers
12877,78,7,170.14000000000001,Best Customers
12878,236,2,45.0,Lost Customers
12879,81,2,183.6,Other
12881,275,1,195.0,Big Spenders
12883,89,1,17.85,Lost Customers
12884,88,1,170.0,Big Spenders
12885,123,1,19.8,Lost Customers
12886,219,1,17.0,Lost Customers
12888,214,2,106.56,Big Spenders
12891,185,2,289.0,Big Spenders
12895,86,1,19.8,Lost Customers
12897,204,1,58.0,Lost Customers
12901,81,20,5915.66,Best Customers
12902,264,1,17.700000000000003,Lost Customers
12904,172,1,9.95,Lost Customers
12906,78,2,79.19999999999999,Almost Lost
12908,176,1,432.0,Big Spenders
12909,87,4,107.16,Loyal Customers
12910,78,5,245.46,Best Customers
12913,282,1,15.299999999999999,Lost Customers
12915,148,1,23.4,Lost Customers
12916,138,3,171.5,Big Spenders
12917,128,1,297.0,Big Spenders
12919,116,3,167.8,Big Spenders
12921,84,20,542.1,Best Customers
12922,161,1,13.2,Lost Customers
12924,88,3,162.67000000000002,Big Spenders
12925,74,1,10.2,Almost Lost
12928,147,2,66.8,Lost Customers
12930,78,2,25.2,Almost Lost
12931,101,8,1607.6200000000001,Loyal Customers
12933,171,2,57.45,Lost Customers
12935,109,3,46.95,Lost Customers
12936,78,1,34.68,Almost Lost
12937,71,3,37.1,Almost Lost
12939,79,4,916.64,Best Customers
12940,87,1,17.0,Lost Customers
12942,131,2,25.35,Lost Customers
12947,143,4,99.1,Loyal Customers
12948,105,4,131.3,Loyal Customers
12949,114,7,98.96000000000001,Loyal Customers
12951,173,3,62.040000000000006,Lost Customers
12952,78,1,14.850000000000001,Almost Lost
12955,92,6,135.83999999999997,Loyal Customers
12957,71,5,75.36,Other
12962,113,1,19.8,Lost Customers
12963,84,1,15.0,Almost Lost
12965,89,1,8.25,Lost Customers
12968,112,1,15.0,Lost Customers
12971,73,50,2395.5,Best Customers
12974,197,1,15.9,Lost Customers
12976,211,1,19.8,Lost Customers
12977,156,1,8.5,Lost Customers
12980,157,5,2041.92,Loyal Customers
12981,133,1,34.68,Lost Customers
12982,242,1,10.4,Lost Customers
12987,73,2,37.2,Almost Lost
12989,88,6,1121.4,Loyal Customers
12990,185,1,41.6,Lost Customers
12991,112,1,42.5,Lost Customers
12993,120,2,36.25,Lost Customers
12994,120,2,35.7,Lost Customers
12995,85,1,38.160000000000004,Almost Lost
12997,88,2,61.6,Lost Customers
12999,196,3,107.03999999999999,Big Spenders
13000,106,2,91.17000000000002,Lost Customers
13001,158,7,717.1200000000001,Loyal Customers
13003,105,3,98.5,Big Spenders
13004,77,8,114.96,Best Customers
13005,173,2,37.3,Lost Customers
13012,78,4,95.79,Best Customers
13013,92,7,147.70000000000002,Loyal Customers
13014,74,6,217.29999999999998,Best Customers
13015,197,4,98.7,Loyal Customers
13016,73,3,64.56,Almost Lost
13018,72,19,378.78,Best Customers
13021,70,5,121.60000000000001,Best Customers
13023,129,1,15.9,Lost Customers
13026,92,3,194.15999999999997,Big Spenders
13027,113,5,1344.0,Loyal Customers
13029,138,1,299.4,Big Spenders
13032,87,1,2.5,Lost Customers
13035,73,2,117.0,Other
13037,138,3,38.400000000000006,Lost Customers
13038,80,2,117.0,Other
13043,273,1,59.8,Lost Customers
13045,99,1,17.4,Lost Customers
13046,266,1,14.75,Lost Customers
13047,127,4,74.15,Other
13048,113,2,32.1,Lost Customers
13050,106,6,94.35,Loyal Customers
13052,212,1,23.85,Lost Customers
13055,78,3,43.08,Almost Lost
13058,151,1,16.35,Lost Customers
13059,249,1,17.700000000000003,Lost Customers
13060,253,1,35.400000000000006,Lost Customers
13061,72,1,9.959999999999999,Almost Lost
13062,191,1,60.48,Lost Customers
13064,88,2,45.8,Lost Customers
13067,82,1,7.95,Almost Lost
13069,99,14,201.63,Loyal Customers
13070,192,1,20.8,Lost Customers
13072,266,1,15.0,Lost Customers
13075,129,1,47.2,Lost Customers
13078,82,12,748.54,Best Customers
13079,75,3,154.7,Other
13080,179,1,3.3600000000000003,Lost Customers
13081,143,3,44.46000000000001,Lost Customers
13082,126,8,154.2,Loyal Customers
13083,75,1,17.0,Almost Lost
13085,157,1,17.0,Lost Customers
13089,70,54,2427.14,Best Customers
13090,136,4,237.4,Loyal Customers
13092,70,4,57.25,Other
13093,275,1,40.8,Lost Customers
13094,80,7,505.74,Best Customers
13095,70,1,9.36,Almost Lost
13097,77,6,197.01,Best Customers
13098,87,17,946.6,Loyal Customers
13099,99,1,207.35999999999999,Big Spenders
13101,234,1,9.95,Lost Customers
13102,81,13,243.88,Best Customers
13104,85,3,232.92,Other
13106,133,1,76.5,Lost Customers
13107,85,2,94.56,Other
13109,157,1,10.5,Lost Customers
13110,137,4,54.04,Other
13113,113,15,2256.15,Loyal Customers
13115,184,1,7.800000000000001,Lost Customers
13116,138,1,25.5,Lost Customers
13117,121,4,57.7,Other
13118,208,2,91.3,Lost Customers
13120,238,1,30.599999999999998,Lost Customers
13121,269,1,7.6499999999999995,Lost Customers
13122,94,2,48.56999999999999,Lost Customers
13124,89,2,18.6,Lost Customers
13126,72,3,53.099999999999994,Almost Lost
13127,77,1,34.68,Almost Lost
13130,94,1,39.0,Lost Customers
13131,71,2,36.4,Almost Lost
13132,261,1,15.299999999999999,Lost Customers
13133,273,1,9.95,Lost Customers
13134,85,4,125.03999999999999,Best Customers
13135,196,1,3096.0,Big Spenders
13136,87,4,91.9,Other
13137,92,4,12.57,Other
13138,80,3,41.120000000000005,Almost Lost
13139,72,4,167.02,Best Customers
13140,108,2,33.9,Lost Customers
13141,84,3,52.400000000000006,Almost Lost
13145,91,2,163.8,Big Spenders
13147,99,1,118.80000000000001,Big Spenders
13148,133,6,97.6,Loyal Customers
13149,106,2,25.14,Lost Customers
13155,79,1,10.5,Almost Lost
13157,141,2,29.0,Lost Customers
13158,94,3,65.1,Lost Customers
13159,106,2,23.25,Lost Customers
13162,122,3,27.03,Lost Customers
13166,283,1,2.5,Lost Customers
13167,130,2,59.66,Lost Customers
13168,199,1,12.75,Lost Customers
13169,252,1,15.600000000000001,Lost Customers
13178,73,7,187.2,Best Customers
13183,86,6,85.7,Other
13184,130,8,56.4,Other
13185,267,1,71.4,Lost Customers
13186,93,2,44.879999999999995,Lost Customers
13189,115,1,4.0,Lost Customers
13192,95,2,41.1,Lost Customers
13194,135,1,34.0,Lost Customers
13196,84,2,50.25000000000001,Almost Lost
13198,120,3,61.5,Lost Customers
13199,92,14,1238.8,Loyal Customers
13200,74,2,35.400000000000006,Almost Lost
13203,120,2,32.4,Lost Customers
13207,150,1,35.400000000000006,Lost Customers
13208,155,3,45.55,Lost Customers
13209,128,3,79.5,Lost Customers
13210,93,1,25.5,Lost Customers
13211,95,1,10.5,Lost Customers
13213,128,4,127.30000000000001,Loyal Customers
13216,267,1,69.12,Lost Customers
13217,122,3,294.94,Big Spenders
13218,127,1,15.0,Lost Customers
13220,78,4,344.1,Best Customers
13221,240,1,8.5,Lost Customers
13223,200,2,115.80000000000001,Big Spenders
13224,151,1,8.82,Lost Customers
13225,143,3,702.0,Big Spenders
13226,273,1,9.95,Lost Customers
13227,201,1,67.5,Lost Customers
13228,81,1,179.0,Other
13229,225,1,15.0,Lost Customers
13230,138,8,39.73,Other
13232,98,5,41.75,Other
13233,74,1,14.040000000000001,Almost Lost
13235,212,1,19.799999999999997,Lost Customers
13236,106,1,31.9,Lost Customers
13238,163,1,15.0,Lost Customers
13239,261,1,18.96,Lost Customers
13240,96,3,31.6,Lost Customers
13242,112,3,62.400000000000006,Lost Customers
13243,203,1,5.1,Lost Customers
13244,92,1,4.95,Lost Customers
13246,176,2,19.0,Lost Customers
13247,82,1,29.700000000000003,Almost Lost
13248,124,2,33.36,Lost Customers
13249,92,3,302.03999999999996,Big Spenders
13253,156,1,27.36,Lost Customers
13258,205,1,5.95,Lost Customers
13261,268,1,99.0,Big Spenders
13262,263,1,6.959999999999999,Lost Customers
13263,70,24,137.43,Best Customers
13265,88,4,136.48,Loyal Customers
13266,75,9,227.48,Best Customers
13267,92,12,195.96,Loyal Customers
13268,84,7,39.72,Other
13269,88,7,162.95,Loyal Customers
13272,89,1,18.96,Lost Customers
13273,113,1,24.900000000000002,Lost Customers
13276,99,1,41.6,Lost Customers
13277,116,2,74.5,Lost Customers
13279,78,1,9.36,Almost Lost
13280,122,1,16.5,Lost Customers
13282,162,2,121.50000000000001,Big Spenders
13283,185,1,8.5,Lost Customers
13285,161,2,36.45,Lost Customers
13291,155,1,12.450000000000001,Lost Customers
13294,189,2,42.0,Lost Customers
13296,137,1,15.0,Lost Customers
13299,268,1,29.700000000000003,Lost Customers
13300,169,1,23.0,Lost Customers
13301,103,3,34.92,Lost Customers
13302,155,1,63.75,Lost Customers
13305,92,6,123.39,Loyal Customers
13307,120,1,15.0,Lost Customers
13308,203,1,15.0,Lost Customers
13309,88,2,25.84,Lost Customers
13310,206,1,10.2,Lost Customers
13311,150,1,5.04,Lost Customers
13313,141,2,22.439999999999998,Lost Customers
13314,73,1,19.8,Almost Lost
13316,79,3,408.72,Other
13317,198,3,90.4,Lost Customers
13319,91,12,312.7,Loyal Customers
13320,78,4,47.3,Other
13321,72,2,259.04,Other
13323,84,1,29.700000000000003,Almost Lost
13324,89,7,541.8,Loyal Customers
13325,81,1,16.5,Almost Lost
13327,112,4,227.8,Loyal Customers
13330,92,2,42.36,Lost Customers
13334,82,2,37.3,Almost Lost
13336,77,1,15.299999999999999,Almost Lost
13338,157,1,10.2,Lost Customers
13339,200,1,17.4,Lost Customers
13340,105,5,639.08,Loyal Customers
13341,260,1,87.6,Lost Customers
13343,177,1,19.8,Lost Customers
13344,277,1,59.8,Lost Customers
13347,70,1,39.599999999999994,Almost Lost
13350,79,1,15.9,Almost Lost
13354,71,1,10.5,Almost Lost
13355,122,1,17.700000000000003,Lost Customers
13356,80,1,17.4,Almost Lost
13357,257,1,9.9,Lost Customers
13358,268,1,17.9,Lost Customers
13362,245,1,19.5,Lost Customers
13364,71,1,24.96,Almost Lost
13365,217,1,51.0,Lost Customers
13368,256,1,10.08,Lost Customers
13372,89,1,9.95,Lost Customers
13373,158,2,30.9,Lost Customers
13375,88,1,16.5,Lost Customers
13376,99,3,65.69999999999999,Lost Customers
13379,136,1,5.04,Lost Customers
13381,89,4,99.67999999999999,Loyal Customers
13382,280,1,15.0,Lost Customers
13384,73,5,100.4,Best Customers
13388,131,2,26.1,Lost Customers
13389,74,2,20.159999999999997,Almost Lost
13390,74,1,15.0,Almost Lost
13391,203,1,59.8,Lost Customers
13394,78,5,76.77000000000001,Other
13395,185,1,1.92,Lost Customers
13397,72,3,262.6,Other
13398,192,1,9.959999999999999,Lost Customers
13402,127,1,17.0,Lost Customers
13404,212,1,15.0,Lost Customers
13405,74,2,40.5,Almost Lost
13408,75,37,2913.74,Best Customers
13410,74,3,103.4,Other
13411,107,1,18.75,Lost Customers
13414,133,2,64.65,Lost Customers
13416,81,1,29.700000000000003,Almost Lost
13417,205,1,23.8,Lost Customers
13418,84,11,155.25,Best Customers
13420,149,2,34.2,Lost Customers
13425,108,2,31.5,Lost Customers
13426,89,4,131.6,Loyal Customers
13427,120,2,25.5,Lost Customers
13429,75,1,25.200000000000003,Almost Lost
13430,86,1,4.5600000000000005,Lost Customers
13431,88,1,30.0,Lost Customers
13434,74,2,187.08,Other
13435,75,4,177.69,Best Customers
13437,99,4,62.22,Other
13439,255,1,6.5,Lost Customers
13441,91,1,12.600000000000001,Lost Customers
13448,80,2,13.05,Almost Lost
13450,89,5,100.56,Loyal Customers
13451,126,3,16.35,Lost Customers
13452,259,2,590.0,Big Spenders
13453,165,1,19.9,Lost Customers
13456,155,3,245.70000000000005,Big Spenders
13458,99,6,129.56,Loyal Customers
13461,138,2,113.6,Big Spenders
13462,252,1,19.8,Lost Customers
13466,184,1,17.700000000000003,Lost Customers
13468,74,21,543.11,Best Customers
13470,99,2,33.0,Lost Customers
13474,236,1,1.7,Lost Customers
13475,191,3,63.18000000000001,Lost Customers
13476,178,2,38.7,Lost Customers
13477,138,3,41.66,Lost Customers
13479,200,2,50.4,Lost Customers
13481,108,4,67.15,Other
13482,232,1,17.4,Lost Customers
13484,241,1,67.5,Lost Customers
13485,233,1,12.5,Lost Customers
13486,78,3,40.620000000000005,Almost Lost
13487,213,1,15.9,Lost Customers
13488,72,8,144.14,Best Customers
13489,105,2,85.8,Lost Customers
13491,147,4,38.91,Other
13495,232,1,20.4,Lost Customers
13497,282,1,24.75,Lost Customers
13499,73,3,112.5,Other
13500,122,1,15.0,Lost Customers
13502,274,1,9.36,Lost Customers
13503,71,1,10.5,Almost Lost
13507,98,3,69.1,Lost Customers
13508,243,1,15.9,Lost Customers
13509,99,4,172.6,Loyal Customers
13510,95,2,13.54,Lost Customers
13512,260,1,17.85,Lost Customers
13513,126,1,9.899999999999999,Lost Customers
13514,73,1,39.900000000000006,Almost Lost
13515,72,4,80.34,Other
13516,72,2,50.34,Almost Lost
13517,106,2,34.8,Lost Customers
13518,85,1,19.799999999999997,Almost Lost
13519,78,1,11.9,Almost Lost
13523,199,2,39.4,Lost Customers
13524,81,4,135.60000000000002,Best Customers
13525,248,1,232.0,Big Spenders
13527,89,5,93.61,Loyal Customers
13529,78,2,33.2,Almost Lost
13531,205,1,41.6,Lost Customers
13533,182,3,11.75,Lost Customers
13534,107,13,233.93,Loyal Customers
13536,75,1,10.4,Almost Lost
13538,94,5,228.3,Loyal Customers
13539,85,2,36.7,Almost Lost
13544,240,1,5.75,Lost Customers
13546,200,1,25.5,Lost Customers
13548,96,2,11.049999999999999,Lost Customers
13549,142,5,100.6,Loyal Customers
13552,86,10,236.97,Loyal Customers
13555,73,4,166.9,Best Customers
13557,280,1,30.0,Lost Customers
13561,215,1,2.08,Lost Customers
13562,81,3,53.650000000000006,Almost Lost
13563,84,2,94.35,Other
13564,144,1,550.64,Big Spenders
13566,82,1,1.25,Almost Lost
13568,173,1,8.3,Lost Customers
13570,243,1,3.9,Lost Customers
13571,92,7,58.45,Other
13572,205,1,17.700000000000003,Lost Customers
13573,253,1,0.42,Lost Customers
13575,70,3,77.9,Almost Lost
13576,71,10,1218.8,Best Customers
13577,92,3,53.4,Lost Customers
13583,155,1,9.0,Lost Customers
13588,86,5,55.67999999999999,Other
13589,179,1,14.95,Lost Customers
13590,150,3,151.06,Big Spenders
13591,204,2,39.42,Lost Customers
13592,205,3,64.22,Lost Customers
13593,108,4,50.900000000000006,Other
13599,84,7,149.12,Best Customers
13601,211,1,16.5,Lost Customers
13606,243,1,14.95,Lost Customers
13610,110,4,22.39,Other
13611,89,2,34.8,Lost Customers
13614,89,2,27.69,Lost Customers
13617,113,2,17.75,Lost Customers
13618,173,1,6.959999999999999,Lost Customers
13621,116,1,4.0,Lost Customers
13623,210,3,44.2,Lost Customers
13626,252,1,17.4,Lost Customers
13627,79,3,57.72,Almost Lost
13629,99,6,912.85,Loyal Customers
13630,75,5,357.4,Best Customers
13631,99,11,3070.42,Loyal Customers
13632,173,3,43.77000000000001,Lost Customers
13634,86,3,23.0,Lost Customers
13636,122,3,68.65,Lost Customers
13637,187,2,2.55,Lost Customers
13639,74,1,23.4,Almost Lost
13642,215,1,4.25,Lost Customers
13643,98,2,29.3,Lost Customers
13644,73,2,30.6,Almost Lost
13645,120,1,19.9,Lost Customers
13647,71,3,64.34,Almost Lost
13649,256,1,15.299999999999999,Lost Customers
13650,88,3,46.5,Lost Customers
13652,256,1,27.04,Lost Customers
13654,145,4,114.3,Loyal Customers
13655,114,2,45.8,Lost Customers
13656,164,1,8.5,Lost Customers
13657,201,1,12.600000000000001,Lost Customers
13658,85,3,95.08,Other
13659,205,1,35.95,Lost Customers
13662,85,3,67.8,Almost Lost
13663,179,1,16.5,Lost Customers
13667,149,1,4.16,Lost Customers
13668,113,12,188.43,Loyal Customers
13669,149,1,12.75,Lost Customers
13670,75,1,16.5,Almost Lost
13675,151,1,24.96,Lost Customers
13678,151,1,4.8,Lost Customers
13681,155,1,25.200000000000003,Lost Customers
13682,187,1,25.5,Lost Customers
13686,182,1,8.5,Lost Customers
13692,213,2,29.9,Lost Customers
13694,71,32,4472.68,Best Customers
13695,81,13,478.73,Best Customers
13699,155,1,17.700000000000003,Lost Customers
13700,92,6,120.51,Loyal Customers
13704,73,5,119.30000000000001,Best Customers
13705,144,1,9.899999999999999,Lost Customers
13707,267,1,10.2,Lost Customers
13708,271,1,4.949999999999999,Lost Customers
13709,101,4,153.46,Loyal Customers
13711,218,2,55.400000000000006,Lost Customers
13712,246,1,15.0,Lost Customers
13715,281,1,13.44,Lost Customers
13716,269,1,7.5,Lost Customers
13717,128,3,36.15,Lost Customers
13718,246,1,25.4,Lost Customers
13719,205,2,30.0,Lost Customers
13720,116,4,144.5,Loyal Customers
13722,131,3,78.63,Lost Customers
13723,217,1,47.2,Lost Customers
13725,169,3,55.0,Lost Customers
13726,100,1,15.0,Lost Customers
13728,107,4,56.84,Other
13730,135,2,37.8,Lost Customers
13731,219,2,34.5,Lost Customers
13735,175,2,35.7,Lost Customers
13736,260,1,9.9,Lost Customers
13737,200,1,73.94999999999999,Lost Customers
13740,240,1,5.04,Lost Customers
13741,71,3,81.85,Almost Lost
13742,89,8,170.55,Loyal Customers
13743,88,6,157.2,Loyal Customers
13744,95,1,4.68,Lost Customers
13745,162,1,9.0,Lost Customers
13748,95,4,51.41,Other
13750,140,2,338.19,Big Spenders
13752,124,6,203.55,Loyal Customers
13754,151,1,17.4,Lost Customers
13756,93,5,201.9,Loyal Customers
13758,201,2,25.049999999999997,Lost Customers
13759,71,1,17.4,Almost Lost
13760,256,1,2.95,Lost Customers
13761,179,1,15.9,Lost Customers
13762,218,1,104.39999999999999,Big Spenders
13764,70,2,26.84,Almost Lost
13767,80,22,891.94,Best Customers
13769,92,6,213.75,Loyal Customers
13771,199,2,83.7,Lost Customers
13772,96,2,20.2,Lost Customers
13774,81,1,19.8,Almost Lost
13777,77,13,1971.96,Best Customers
13778,103,1,8.25,Lost Customers
13780,170,1,2.08,Lost Customers
13781,250,1,4.25,Lost Customers
13782,124,2,32.3,Lost Customers
13784,94,6,464.88,Loyal Customers
13787,75,1,5.9,Almost Lost
13791,127,2,469.0,Big Spenders
13798,72,34,4648.8,Best Customers
13799,116,1,15.0,Lost Customers
13802,138,2,160.0,Big Spenders
13803,255,1,17.700000000000003,Lost Customers
13804,78,4,99.85,Best Customers
13805,129,1,169.0,Big Spenders
13808,93,2,85.08,Lost Customers
13821,144,2,31.740000000000002,Lost Customers
13823,91,1,16.5,Lost Customers
13824,135,3,213.8,Big Spenders
13826,176,1,21.9,Lost Customers
13827,133,2,8.85,Lost Customers
13831,87,4,202.7,Loyal Customers
13833,159,1,15.9,Lost Customers
13835,155,2,48.75,Lost Customers
13837,211,1,11.25,Lost Customers
13838,117,2,6.7,Lost Customers
13841,252,1,85.0,Lost Customers
13842,72,5,89.2,Other
13846,242,1,12.600000000000001,Lost Customers
13848,92,1,320.0,Big Spenders
13849,170,1,15.0,Lost Customers
13850,129,1,17.4,Lost Customers
13851,95,2,29.799999999999997,Lost Customers
13854,88,14,1990.3600000000001,Loyal Customers
13856,168,3,177.0,Big Spenders
13860,86,1,22.5,Lost Customers
13862,72,5,79.5,Other
13863,247,1,11.9,Lost Customers
13865,136,2,31.700000000000003,Lost Customers
13866,74,1,27.04,Almost Lost
13867,74,2,20.4,Almost Lost
13869,123,2,26.3,Lost Customers
13870,101,4,107.4,Loyal Customers
13871,92,8,156.3,Loyal Customers
13873,119,2,45.8,Lost Customers
13875,133,3,88.56,Lost Customers
13877,86,1,69.6,Lost Customers
13880,87,9,275.69,Loyal Customers
13881,71,11,997.7,Best Customers
13883,218,4,61.9,Other
13884,89,4,65.7,Other
13885,189,2,23.4,Lost Customers
13886,71,1,10.2,Almost Lost
13887,204,1,9.959999999999999,Lost Customers
13888,119,2,20.200000000000003,Lost Customers
13889,92,1,25.0,Lost Customers
13890,107,1,6.959999999999999,Lost Customers
13892,246,1,14.040000000000001,Lost Customers
13895,143,2,53.25000000000001,Lost Customers
13899,274,1,51.0,Lost Customers
13900,183,3,37.019999999999996,Lost Customers
13901,72,4,66.96000000000001,Other
13908,79,4,77.33,Other
13911,144,6,121.94,Loyal Customers
13917,191,1,2.2800000000000002,Lost Customers
13918,253,1,30.599999999999998,Lost Customers
13924,72,1,15.8,Almost Lost
13925,92,4,85.9,Other
13927,74,1,16.6,Almost Lost
13928,106,2,51.300000000000004,Lost Customers
13929,169,1,61.199999999999996,Lost Customers
13930,136,1,12.600000000000001,Lost Customers
13931,95,2,274.5,Big Spenders
13933,109,2,40.050000000000004,Lost Customers
13934,263,1,19.799999999999997,Lost Customers
13936,179,1,3.4799999999999995,Lost Customers
13937,169,1,30.599999999999998,Lost Customers
13939,108,1,10.2,Lost Customers
13940,116,2,26.1,Lost Customers
13941,89,2,250.08,Big Spenders
13946,79,3,238.01999999999998,Other
13949,77,2,25.08,Almost Lost
13950,73,2,39.599999999999994,Almost Lost
13951,176,2,35.1,Lost Customers
13952,217,2,54.0,Lost Customers
13953,115,4,1769.8,Loyal Customers
13954,70,1,15.0,Almost Lost
13955,154,1,4.95,Lost Customers
13956,138,3,9.5,Lost Customers
13959,79,2,15.75,Almost Lost
13960,71,1,17.700000000000003,Almost Lost
13962,245,1,19.9,Lost Customers
13967,145,1,35.7,Lost Customers
13969,107,9,278.67,Loyal Customers
13971,106,5,99.05000000000001,Loyal Customers
13972,70,2,24.659999999999997,Almost Lost
13975,128,4,80.09,Other
13976,206,1,69.36,Lost Customers
13979,73,1,20.8,Almost Lost
13982,163,1,9.9,Lost Customers
13983,88,5,328.95,Loyal Customers
13984,126,2,526.08,Big Spenders
13985,71,8,141.1,Best Customers
13988,72,4,66.66,Other
13989,239,1,23.8,Lost Customers
13990,213,1,23.4,Lost Customers
13991,75,2,9.64,Almost Lost
13993,89,5,174.6,Loyal Customers
13994,77,3,83.7,Almost Lost
13995,115,3,49.8,Lost Customers
13999,95,7,171.45000000000002,Loyal Customers
14000,211,1,61.199999999999996,Lost Customers
14001,232,1,19.9,Lost Customers
14002,134,2,17.88,Lost Customers
14004,78,5,116.8,Best Customers
14005,75,4,90.60000000000001,Other
14006,115,2,34.2,Lost Customers
14009,198,2,45.3,Lost Customers
14012,277,1,37.2,Lost Customers
14013,110,3,36.78,Lost Customers
14014,77,1,15.0,Almost Lost
14019,98,2,21.45,Lost Customers
14020,88,1,34.8,Lost Customers
14021,155,3,98.8,Big Spenders
14022,225,1,10.5,Lost Customers
14023,250,1,15.0,Lost Customers
14024,121,2,35.650000000000006,Lost Customers
14029,144,1,51.0,Lost Customers
14030,89,4,46.599999999999994,Other
14031,74,9,359.56,Best Customers
14032,87,5,157.44,Loyal Customers
14034,157,2,29.840000000000003,Lost Customers
14035,107,2,162.24,Big Spenders
14037,176,1,17.700000000000003,Lost Customers
14038,78,3,62.400000000000006,Almost Lost
14040,94,7,166.99,Loyal Customers
14041,266,1,0.58,Lost Customers
14044,103,2,22.7,Lost Customers
14045,109,1,408.0,Big Spenders
14047,73,2,100.9,Other
14049,158,2,31.95,Lost Customers
14050,106,1,25.200000000000003,Lost Customers
14051,91,10,859.5,Loyal Customers
14053,124,2,218.5,Big Spenders
14055,106,1,23.9,Lost Customers
14056,84,17,257.18,Best Customers
14057,89,11,596.98,Loyal Customers
14059,266,1,23.4,Lost Customers
14060,79,10,288.53999999999996,Best Customers
14062,71,7,714.32,Best Customers
14064,113,4,30.3,Other
14066,266,1,17.700000000000003,Lost Customers
14067,96,1,16.5,Lost Customers
14071,260,2,42.46,Lost Customers
14075,261,1,5.04,Lost Customers
14076,129,1,16.95,Lost Customers
14077,78,4,20.049999999999997,Other
14078,101,4,169.44,Loyal Customers
14079,124,1,15.0,Lost Customers
14083,126,4,43.3,Other
14085,141,6,42.839999999999996,Other
14088,128,6,459.40000000000003,Loyal Customers
14092,99,7,150.03,Loyal Customers
14096,74,6,32.169999999999995,Other
14099,120,5,80.64,Other
14100,137,1,7.95,Lost Customers
14101,73,4,1335.0,Best Customers
14104,154,2,89.16,Lost Customers
14105,239,1,25.5,Lost Customers
14107,96,4,104.82,Loyal Customers
14108,101,1,9.48,Lost Customers
14109,72,1,15.0,Almost Lost
14110,86,7,857.98,Loyal Customers
14111,95,3,206.1,Big Spenders
14112,130,4,100.7,Loyal Customers
14113,78,1,204.0,Other
14114,273,1,89.69999999999999,Lost Customers
14116,92,2,31.65,Lost Customers
14117,143,1,30.0,Lost Customers
14124,84,1,90.0,Almost Lost
14125,78,1,19.799999999999997,Almost Lost
14127,122,2,7.9399999999999995,Lost Customers
14128,255,1,5.04,Lost Customers
14129,95,3,56.2,Lost Customers
14132,87,6,126.9,Loyal Customers
14133,129,2,43.31999999999999,Lost Customers
14135,75,4,257.5,Best Customers
14141,73,2,60.0,Almost Lost
14143,133,1,17.0,Lost Customers
14145,156,3,1128.6,Big Spenders
14146,81,3,50.16,Almost Lost
14147,78,1,81.6,Almost Lost
14148,233,1,127.5,Big Spenders
14149,220,1,17.700000000000003,Lost Customers
14152,75,2,18.46,Almost Lost
